level,code,type,name,revoked
4,520329105,镇,敖溪镇,
4,520329106,镇,龙家镇,
4,520329107,镇,松烟镇,
4,520329108,镇,关兴镇,
4,520329109,镇,白泥镇,
4,520329200,民族乡,花山苗族乡,
3,520330000,县,习水县,
4,520330001,街道,东皇街道,
4,520330002,街道,杉王街道,
4,520330003,街道,九龙街道,
4,520330004,街道,马临街道,
4,520330101,镇,土城镇,
4,520330102,镇,同民镇,
4,520330103,镇,醒民镇,
4,520330104,镇,隆兴镇,
4,520330105,镇,习酒镇,
4,520330106,镇,回龙镇,
4,520330107,镇,桑木镇,
4,520330108,镇,永安镇,
4,520330109,镇,良村镇,
4,520330110,镇,温水镇,
4,520330111,镇,仙源镇,
4,520330112,镇,官店镇,
4,520330113,镇,寨坝镇,
4,520330114,镇,民化镇,
4,520330115,镇,二郎镇,
4,520330116,镇,二里镇,
4,520330117,镇,三岔河镇,
4,520330118,镇,大坡镇,
4,520330120,镇,桃林镇,
4,520330122,镇,程寨镇,
4,520330205,乡,双龙乡,
4,520330207,乡,坭坝乡,
3,520381000,县级市,赤水市,
4,520381001,街道,市中街道,
4,520381002,街道,文华街道,
4,520381003,街道,金华街道,
4,520381100,镇,天台镇,
4,520381101,镇,复兴镇,
4,520381102,镇,大同镇,
4,520381103,镇,旺隆镇,
4,520381104,镇,葫市镇,
4,520381105,镇,元厚镇,
4,520381106,镇,官渡镇,
4,520381107,镇,长期镇,
4,520381108,镇,长沙镇,
4,520381109,镇,丙安镇,
4,520381110,镇,两河口镇,
4,520381202,乡,宝源乡,
4,520381203,乡,石堡乡,
4,520381204,乡,白云乡,
3,520382000,县级市,仁怀市,
4,520382001,街道,中枢街道,
4,520382002,街道,盐津街道,
4,520382003,街道,苍龙街道,
4,520382004,街道,坛厂街道,
4,520382005,街道,鲁班街道,
4,520382103,镇,长岗镇,
4,520382105,镇,五马镇,
4,520382106,镇,茅坝镇,
4,520382107,镇,九仓镇,
4,520382108,镇,喜头镇,
4,520382109,镇,大坝镇,
4,520382110,镇,三合镇,
4,520382111,镇,合马镇,
4,520382113,镇,火石镇,
4,520382114,镇,学孔镇,
4,520382115,镇,龙井镇,
4,520382116,镇,美酒河镇,
4,520382117,镇,高大坪镇,
4,520382118,镇,茅台镇,
4,520382201,民族乡,后山苗族布依族乡,
2,520400000,地级市,安顺市,
3,520402000,市辖区,西秀区,
4,520402001,街道,南街街道,
4,520402002,街道,东街街道,
